IDs,700098289,700015180,700033435,700033438,700035176,700095429,700097135,700102432,700100490,700024044,700109340,700038950,700095850,700015923,700109582,700114939,700102318,700096066,700016961,700105334,700106914,700015406,700015407,700035747,700035392,700113541,700033749,700033202,700024566,700015398,700015399,700095793,700106326,700107011,700109884,700108915,700101534,700108493,700096962,700102062,700111244,700109405,700102924,700100432,700111461,700114179,700034794,700099400,700108180,700096722,700099237,700109643,700106350,700021934,700111178,700032087,700102375,700038626,700032133,700098754,700097253,700106542,700107949,700016012,700016013,700099021,700102135,700037484,700096123,700108117,700037852,700111833,700099978,700098621,700101657,700024930,700108977,700034926,700101243,700107208,700101916,700107892,700107565,700105904,700095543,700099464,700109827,700023226,700023845,700016141,700016142,700108802,700034857,700038761,700114017,700024711,700096887,700097376,700100559,700035400,700111524,700106647,700097503,700112004,700033503,700100249,700097589,700016921,700110177,700024173,700105238,700035533,700108304,700098220,700111596,700015118,700015117,700015876,700098888,700033748,700107059,700097928,700109252,700033665,700110375,700114287,700037284,700109192,700098131,700107397,700035657,700106837,700098691,700037074,700033797,700097313,700108552,700101095,700114767,700015981,700015980,700109525,700111045,700033382,700024809,700096285,700099765,700035594,700110309,700106978,700099531,700108618,700103653,700032944,700113616,700100184,700109770,700101793,700106465,700103499,700099609,700098954,700038578,700097196,700111767,700037026,700110606,700099307,700110720,700096656,700037738,700095736,700101859,700034188,700016214,700105001,700096437,700016021,700016020,700033941,700099908,700110438,700034100,700109468,700099822,700015250,700106723,700102261,700016765,700016564,700106259,700103328,700016609,700015249,700024470,700097773,700106930,700102678,700015703,700015704,700101309,700033989,700014955,700014956,700037389,700038414,700106695,700103575,700102607,700110663,700100312,700114419,700108058,700113035,700098561,700114818,700024437,700016610,700102867,700015181,700105087,700024254,700023477,700023267,700095486,700023633,700016470,700023902,700105822,700024752,700038005,700105459,700114749,700100041,700024866,700107778,700114872,700038520,700114125,700105856,700021824,700024998,700037122,700013596,700097859,700097650,700096380,700035804,700106170,700103478,700038902,700101366,700105306,700024107,700109943,700038158,700097022,700021876,700014724,700014723,700038322,700103327,700032244,700014836,700014837,700037179,700114246,700106784,700014490,700024673,700096612,700106093,700033152,700033153,700038472,700023987,700014845,700014844,700038053,700111318,700034254,700024509,700023313,700102541,700024318,700023936,700023539,700103710,700015415,700015414,700097437,700096530,700095975,700101600,700113093,700095669,700110007,700105496,700105723,700023023,700095372,700097994,700097710,700099081,700024615,700096180,700105372,700100619,700113562,700095235,700108858,700110243,700098381,700105181,700032414,700105771,700014391,700014390,700024379,700038386,700014489,700105632,700114517,700014561,700014562,700114653,700107508,700035256,700024233,700038978,700023654,700016716,700037200,700035321,700108240,700037560,700110111,700098451,700023096,700106056,700110834,700109129,700034641,700035861,700023788,700035953,700105612,700037341,700014504,700014503,700106579,700016029,700016028,700023578
entero,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Bacteroides,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Prevotella,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus,Ruminococcus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides,  2460,  7101,  2552, 26358,  1224,  4878,  2641,   829,  2636,  7897, 11705,  4693,  1407,  2934,  4127,  5037,  2655,  6279,  1760,  8151, 11710,  8569, 10212,  2171,  2063, 11214, 21848,  3264, 15239, 12216, 21953,  3693,  1056,  2141, 11086, 27452,  2906, 12193,  2427,  2539,  5317,  6546,  5257,  2022,  3759,  7610,  1639,  4527,  5866,  3653,  3750,  5194, 17027,  3029,  6813,  1946,  2184, 16624,  2731,  2378,  2387,  3258,  4237,121973, 16023,  7302,  2633, 11603,  2733,  1741,  2801,  3256,  3272,  2306,  5087,  3780,  7058,  2764,  3913,  4904,  1601,  5029,  6394,  3683,  1246,  2112, 13432,  3608,  7643, 16001, 27080, 14424,  2078,  5538,  9953, 15997,  3685,  2237,  4370,  3577,  6851,  5535,  2031,  4812,  2789,  5939,  3329,  5313,  3065,  8593, 10430,  2968, 14406,  1745,  3803, 12503, 14204,  2259,  2186, 13922,   854,  2465,  3702,  2437,  7173,  5601,  2925,  6906,  3129,  9517,  3189,  3755,  3498,  1287,  2516,  4989,  2895,  6302,  8252, 23446, 12127,  7925,  5289,  2103,  4720,  5364, 15648,  1670, 12331,  6228,  3628,  2140,  7909,  2202,  8328,  4819,  5692,  3702, 14104,  2055,  9666,  4636,  8863,  2005,  4122,  3817,  5055,  6054,  3953,  3716,  3588,  1702,  2158,  2268,  6694,  7011,  3147, 24511, 10949,  2439,  3763, 15828,   600,   582,   659,  4718,  3447,  1427,   530,  3814,  6039,  1125,  4310,  1553, 10148,   845,  1773,  1302,  4920, 10232,  1659,   357,  3998,  7609,   225,   374,   900,   886, 11958, 10605,   337,  2404,  1707,  3896,  2540,  2380,  2710,  8618,  1089, 12442,  2844,  6938,  3608,  2064,  1451,   241,  1076,  1439,   879,  1956,  1635,  6065,  4898,   784,  4014,  1120,  4782,  4234,  2466,  4828,  1130,  2603,  1238,  1313,   929,  1565,  1107,  1321, 10523,  5727,  3405,  1794,  4194, 11736,  4229,  1891,  1083,  5623,  6715,  5048,  2134,     4,   265,  2215,  7863,  1107,  2837,  1520, 11708,  3259,  1171, 16634,  7315, 15728,  5281,  1882, 11397,  5893,  6433,  3740,  2473,  8271,  1922,  1009,  3530,  6943,  4356,  5640,  4169,  2036,  1879,  1072,  2231,   623,  5636,   680,   754,  9988,  6832,  2766,  2576,   741,  3679,  2718,  4629,   474,  3357,   749,  3669,   727,  1763, 10783,  3033, 16208,  1264,  1267,  7671,  7007,  6354,  3966, 11441,  2748,  3599,  5098,  5320,  4193,  2735,   475,  7128,  3229,   740,  1461,   376,   755,  5364,  8348,   879,  1451, 14799,  3157,  1599,  4486,  1399,  1667,  2293,   315,  7020,  1733,  8127,  5998,  1182,  6820,  2810,   350
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides,  141, 1402,   99, 1975,  104,  662,  277,   61,  409,  434,   19,   32,   97,    0,  213,  124,  182,  375,  515, 1037,    0,  399,  466,  163,   36,    1, 3932,  319,  976, 1241, 2522,   70,    0,   28,  907,    0,   81, 1258,   16,    0,  261,  170,  948,  142,  224, 1132,  346,  403, 1033,    0,   46,  182, 4605,  157,  180,  338,  163, 9303,  219,   66,  142, 1119,  585,15187, 1964,  116, 1516,  435,    3,  217,   88,   68,  277,    0,  214, 1610,    0,  169,   74,  244,   26,   91,   11,  125,  361,   18,  608,    0,  883, 2683, 4714,   51,  109,    0,  351,  644,  126,  314,  108,  258,  306,  466,  153,  203,   39,   80,  201,  375,    0,    0,  665,   40,  464,  117,   50,    0,    0,   18,  131, 2198,   27,   95,   54,  378,  241,   84,    0,  127,  111,  395,  198,  618,   50,  151,   61,  209,  359,  495,  352, 2268,  981,  524,  400,   25,  227,    2,  242,    0, 1252,  636,    0,    7, 1372,  576,  765,  108, 1032,    0, 1777,  114,    0,   24,  556,   81,  159,  439,  252,   52,   16,   48,  102,   55,    0,   48,   90,    0,  111, 2164,  689,  121,  353,  991,    9,  157,  188,  926,  189,  195,  140,  495, 1485,  126,  638,  305,  503,  107,  263,   67, 1753, 3464,  357,   15, 1039, 1938,  456,  158,  159,  109, 2537,    0,  354,  192,  139,  558,  219,   87,  980, 1348, 2680, 2513,  304,  767,  187,  140,  194,   29,  125,  231,   22,  679,   58,    0,  413,  251,  211,  249,  290,  170,  236,  440,   77,  118,   24,   60,  258,  683,   85,   25,  522, 1283,  281,  111,  513, 1270,  416,   69,   68,  990,  921,  676,  292,    0,   42,  570, 1923,  997,  506,  400,  856,  720,    0,    0, 1458, 3224, 1041,  210,  674,  404, 1079,    0,  696,    0,  443,  352,  413,  391,    0, 1103,   99,   49,   28,  204,  131,  177,    0,  160,  259,  151,  156,  289,  750,  224,  466,  762,  755,   74,   89,  267,  228,  492, 1049,  647, 1057,  699,  125,  190, 1025, 1009,  194, 1056,  796,  248,  199, 3000, 3185,   95,  903,   85,    0,  260,   45,   41,  146,  159,  227,  640,  318,  227,  742,  162,  133, 1127,  520,    0,   48,   26,  640,  198,  834,  606,   55,  488,  182,    8
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes, 485, 802, 214, 781,  18, 173, 303, 241,  85, 750,5487,  17, 139,  22, 434,  67, 298, 142,  69, 882, 482,  11,  24, 174, 165,   0,3394, 457,1837, 125, 334, 322,   0, 228, 686,1733, 276,1259,   6,   0,  89,   0,   0,  65, 318, 221,  38,   0,  54,   0,  73, 144, 344,  88, 567, 254,  33,3992,  28,  32,   2,   0, 156,3250, 275,   0, 317,1093, 192,  73, 509,   2, 139,   0, 423, 201,   0, 119, 479, 113, 110, 224,   0, 426, 447,  34, 925, 206, 652,   0,   0, 858,  89,1483,1432, 697,  99,  47, 185, 381,   0, 526, 197, 347,  54,   0,1581, 489,   0,2443, 225, 508, 366, 134,  55,   0,   0,  20, 234,1384,  98, 160, 310, 297, 596, 592, 336, 508,  18,1050,  36, 438,   0,  83, 168,1028,  97, 428,  37,2128, 534, 258, 225, 193,   0, 779, 825,   0,1679, 401,   0, 121, 412,  13, 831,   0,  90,   0,3683, 399,   0, 150, 495, 303, 158,1906, 118,  30, 228,   0, 336, 135,  49, 197, 109,   0,  89,1740, 571,  91, 642, 634,  12,  63, 106,1938, 798,  16,   0, 236,1047, 396, 106, 537,2479, 152,1011,   1,2808,6169, 140,  33,1284,2641, 304, 379, 201,  47,2398,  28,   0, 349, 122, 606, 296, 462, 893, 404, 325,2332, 385, 623, 105, 291, 657,  27, 230, 287, 655, 229, 747,1903, 966, 131, 801, 903, 653, 667,1358,1457, 142, 515, 271, 767, 422, 371, 214, 360,1551,2411, 247, 175, 661, 674,1610, 575, 461,1284,1701,1130, 511,   0, 118, 562,1955, 295, 298,1088,   0,2566,1194, 762,2441,6624, 231, 358,   2,   1,2080, 119, 114,1837, 401, 620, 820, 611, 354,1348,1694, 748,  97,  39, 769, 393,   0, 272,  12, 289,3225, 361, 744,  80, 858, 237,1799,  11, 922, 223, 228, 374, 169,1306, 208,1001,  48,1175,1821,1452,1695, 302,   0, 482,   0, 469, 660, 367, 369, 968,   0, 899, 965, 229,3230, 976, 579, 300, 316, 169, 873,1519, 149, 423, 872, 203, 195,  49, 892, 396, 218, 174,2239,1968, 687,  62
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified, 219, 201,  68, 552,  28, 137, 185,  19,  70, 101, 521,  12,  29,  31, 173,  65,  52,   5,  18, 497,2138,1628,1952,  80,  26, 107,1270, 175,1147,  90, 135, 125,  11,  20,  95, 526,  58,1537, 241, 199,   3, 218, 485,   3, 441, 696,  16, 181,  48,  44,  57,  74, 519,  21,  76,  71, 385, 167,  12,  84,  45, 135,  80,4472,1885, 582,  31, 395,  32,  46,  97,  56, 247, 123, 439, 513,  31, 161,  85,  39,  17,  70,  68, 396,  41, 127, 408,  10, 231, 649,1058,  52,  10,1004, 345, 256,  15,  54, 356,   9,  53,  48, 146, 314,  66, 228, 212, 186, 184, 109, 912,   6, 448,  89, 249, 117, 440,   8, 100, 659,  28,  37, 223, 209, 896,  33,  91, 289,  53, 346,  43, 299,  89,  39, 304, 334,  34,  42, 867,1715, 555,  91, 146, 102,  56, 101, 457,   6, 413, 131,  74, 125, 441,  51, 308, 132,  14, 131, 683, 151, 473,  53, 318,  59,  98, 126,  43, 115, 609, 150, 275,  47, 121,  88,  27,  65,  35,1246, 512,  28,  37, 281,  33,   4, 147,2308, 193, 253, 104,  62,1184, 164, 461, 613, 379, 159, 153,  72, 396, 844,  93, 152, 564,1426,  36, 123, 149, 158, 721,1036, 247, 554, 106, 933, 835, 217, 883,1194, 272, 755, 414,1000, 827, 402, 236,1704, 605,1924, 153, 537, 275,1578, 233, 108, 833, 102, 939, 484,1274,1022, 199, 410, 311,  83,  80, 241, 140,  44,3140,1389, 280, 250, 853,7374, 209,  90,  13,2957, 392, 247, 378, 165, 110, 729,2076, 137, 911, 512,1274, 202,  59,2107, 413,1094,3575, 709,1122, 630,3063, 388, 263,1903,2221,  40,1179, 593,3141, 790,1073, 406, 126, 155, 488,  84, 821,  75, 135,1875,1125,1289, 135,  45, 292, 983,  91, 126, 926, 936, 489, 128, 481,1472, 216,3145,  66, 769, 597, 406, 607, 325,1576, 609, 303, 281, 263, 226,  94,  87,1021, 679,1570,  89, 180,  27, 319,5736, 101, 119,1425, 613, 346, 216, 219, 259, 502,   9, 806, 304,2262,1947, 157,1070, 467, 803
Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified, 394,1551, 171, 600,  24, 145, 194,  20, 212, 123, 324,   9,  25,  34, 354,  15, 134,  12,  78,  89, 595, 807,1190,  34,  13,  53,1554, 245, 505,  31,  48, 192,  12,  30, 101, 856,  98,1228,  76,  90,  44,  79,  57,  24, 290, 412,  62, 116,  36,  49,  26,  53, 558,  33,  74, 127,  61, 169,  19,  18,  14, 158,  88,2822, 245, 133,  19, 206,  31,  48,  35,  22,  59,  31, 336, 230,   8, 124, 167,  16,  90, 158,  48, 214,  39, 158, 136,   6, 158, 288, 502, 102,  26, 406, 233, 165,   9,  39, 288,  49,  16,  16, 299, 229,  61, 148, 103, 101, 120,  71, 340,  21, 307, 127, 115, 108, 346,  10, 110, 835, 166, 117,  75, 270, 440,  39, 257,1287,  21, 396,  18, 126,  50,  31, 461, 376,  74,  29, 295,1858, 770,  46,  74,  53, 105,  46, 225,  48, 883,  87,  57, 325, 119,  16, 372, 168,   7, 118, 145,  60, 270,  37, 430,  74,  44, 288,  23, 174,  87,  41,  45, 182, 103,  57,  58,  24,  35,1038, 361,  21,  76, 729,  38, 325, 184,1718, 172,  54, 222,  80, 596, 313, 467, 594, 360, 473, 126,  13, 482,1006, 347, 112, 456,1084,  53, 520, 122,  79,1497, 949, 171,1072,  51, 875, 808, 121, 856,1336, 257,2071, 413, 614,1309, 114, 645,1952, 690,1061, 227, 496, 242,1014, 387, 148, 377, 717, 848, 482, 541, 733, 323, 684, 121, 180, 561, 896, 419, 228,2457,1535, 118, 251, 779,3687, 177, 406, 362,1752, 444, 397, 558,   9, 314,1547,4556,  76, 175, 327,3230, 171,  81, 571, 765,1704,1518, 604, 177, 164,5549, 317, 466, 897,3610,1419, 925, 381,1327, 512,3065,1609,  65, 258, 698, 302, 490, 620,2422, 788, 769, 788, 588, 223, 673, 991, 187, 284, 750, 885, 467, 123, 138,1402, 178,1553,  53, 714, 478,1030, 475, 326,2652, 390, 384, 880, 748, 507, 834, 493, 411, 578, 849, 164, 222,  28,1100,3123, 135, 249, 875, 565, 187,1241, 391, 414, 436,  21, 944, 245, 978, 861, 140,1112, 400, 984
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia, 153, 284, 232,2127,  36,  49, 177,  40,  31,  38, 490,  12,  18,   0, 240,  20,  82,   0,   6, 344, 610,  47,  42,  38,  62,  39, 644,  33,3409,   1,   2,  24,   7,  18,  56, 801,  75, 904, 347,  21,  15,  46, 181,   2, 125, 258,  54,   0, 196,   0,   7, 170, 203,  14, 112,  17, 330, 148,   9,  21,  68,  49,  64,9542, 966, 540,  53, 744,  43,  24,  48,   0,  81,  46, 146, 123,  49,  92,  52,  41,   3,  38, 157, 195,  50,  94, 115,  14, 171, 249, 480,  83,  11, 665, 162,  28,   4,  16, 168,   0,  19,   9,  48, 509,  82,   0, 125,  96,  24, 108, 325,   8, 314, 240,  76,   0,  20,  59,  89, 366,  44,  88,  89,  44, 126,  15,  58, 138,  39, 207,   9, 131,  39,  43,  64,  99,  93,  31, 543, 760, 273, 148, 193,  87,  47,  78,  60,   8, 238,  68,  70,  68, 443,  27, 276,  30,   4,   1, 186,   3, 255, 126, 225,  34,  22,  31,   4,   0, 107, 181,  87, 129,  43, 144,  27,  12,  56, 278, 130,  23,   1, 106,  25,  10, 119,1498,  15,  33,   7,  18, 258,  84, 247, 516,  74, 233, 113,  44,  85, 147,  92,  15, 606, 891,  40,  49,  12,  23,  46, 188, 102, 233,  63, 557,  85, 242, 322, 410, 192, 216,  42,1114, 313, 264,  82,2097,  34, 785, 115,  93,  54, 781,  54, 273, 395,  21, 115, 173, 783, 470, 220, 127,  63, 107,  69,  78,  79,  15, 712, 865, 322,  58, 116,1655, 239,  71,  18,1860, 215, 171,  46,   8,  41,  35, 115,  29, 504,  94, 867,  80, 124,2162, 105, 174,2404, 392,  16,  15, 368, 782,  54,1119, 497,  11, 379, 445,2671, 211, 464, 194,  54, 161,  47,  49, 191,   4,  66, 731, 410, 925,  27,  32, 108, 143, 131,  50, 260, 106, 421, 189, 466, 157,   8, 748, 101,  32,  54, 102, 189, 144, 624, 216, 326, 122, 122,  12,  21,  16, 912, 190, 836,  44, 108,   3,  31,4376, 218, 203,2057, 326, 128,  24, 271, 200, 196,   3, 606,  34, 365, 344,  53, 372,  90, 585
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium, 135, 473, 528,1008,  22, 122, 166,  22,  40,  77,3587,   0,  29,   5, 264, 122,  59,  21,  10,1676, 531, 374, 478,  95, 122,  41,1176, 256, 372,  69, 142,  69,  42,  40, 202, 848,  22, 556, 114,  97,   9,   5, 140,  15, 299,   0,  27,  35, 152,   0,  56,  28,   0,  18, 182,  61,  79,  74,   2, 106,  10, 495, 223,  10,   1, 277,   0, 262,  12,  46,  45,  35, 222,  88, 829,  95,   0,  43, 271,  61, 314,  17, 119, 505,  77,  45, 737,  12,  52,  50, 100,  48,  20, 205, 294, 370,  23,   6, 232,  32,  28,  10,  76, 521,  57,   0, 197, 315,   8, 750, 174,  21, 464,  90, 796,   0,   1,  46,  38, 405,  72,  74, 156, 138, 356, 164, 498, 238,  30, 230, 192, 225,   0, 125,  84, 325,  20, 152, 233, 474, 141,  76, 104,  91, 853, 122,   2, 443, 174, 178,  47,  55, 405,  12, 909,   7,   3,  32,   0, 352, 300,  19, 966, 157,  24,  48,  73,   1, 499,  57,  29,  93,   4,  79,  29,  73, 375,1023, 307,  66,  35, 501,  14,  30, 134,1867,  74,  36, 147,  70, 962, 356, 135, 457, 222, 211, 284,  26, 210, 517,  78, 194, 584,1595, 151, 427, 123,  23,1063, 539, 134, 696,  72, 783, 442, 775, 399, 668, 541, 961, 268,1502,3187, 438, 265,2096, 273, 392, 699, 139, 582, 594, 350,  40,1325, 166,1123, 820,1334, 298, 216, 565, 451,  10, 163, 147,  99, 396,3144,1646, 542,  52, 695,3383, 407, 293,  81,5742,1313,1229, 921,   4,  51, 990,2609, 212, 292, 560,1900, 140, 288,4379,1398,3082,4370, 930,6178,4162,2525, 357, 125,1760,1798,  69,2255,3113,3198, 218,1720, 853, 176,  75,  65,  51,1424, 204, 370,4851, 760,1448,  67, 691, 205, 543, 585,  77, 759, 246,1302,  27,  79, 889, 269,5537, 123,1196, 392, 508,1889, 295,1506, 677, 772, 382, 394,3852,  35,  25,1368, 525, 136, 135, 209,  10,1370,3956, 173, 281,4424, 598, 346,3374,  88, 116,1602,  18,3823, 801, 876, 861,  93,  54,  20, 139
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|unclassified,  177,  294,   47,  232,   20,   37,  161,   45,   96,   70,  533,   10,    8,   27,  166,   45,  160,   21,   17,  176,  132,   66,   56,   50,   50,   31,  466,  140,  304,  233,  225,   95,   34,   33,  160,  425,   87,  463,   23,   82,   20,  201,   98,   30,  155,  113,   48,   13,   87,   62,   42,   25,  422, 1605,  128,  110,   16, 1085,    9,    5,   18,  152,   40,  672,   61,  108,   21,  191,   26,   42,   32,   72,   74,   27,  205,   31,   31,  162,  589,   31,   28,   96,   36,  138,  101,    7,  229,   18,  308,  286,  540,   53,   27,  731,  141,  212,   20,    7,   95,   16,    3,   29,  243,  145,   29,    0,  395,   42,   10,  234,   86,   17,  544,  105,  257,    3,   14,   35,   86,  192,   66,   64,  174,  111,  781,   89,  176,  684,   65,  373,   21,  157,   39,   31,   95,  499,   21,   73,  169, 1555,  419,   18,   35,   28,  223,   31,   91,  274,  327,   49,   28,   69,  184,   29,  151,    1,    5,   10,  109,   93,   61,   10,  241,  146,   15,  936,   46,    8,  106,  269,   39,  160,   13,   19,  162,   24,   78, 4137, 1286,   11,   30,  336,   14,   60,   53,  726,   59,  100,   95,   97,  270,  666,  494,  162,  413,  224,  341,    3,  648, 1096,  139,   41, 1066, 2468,   38,  915,  126,   31,  990,  866,  224, 1051,   59,  208,  263,  516, 1043, 2298,  258,  800,  960,  885, 1196,  212,  451, 2379,  375,  908,  761,  242,  283,  999,  226,  229,  491,  152,  553,  524,  767,  465,  235,  420,   75,  384,  268,  821,  226,  568, 3013,  538,  183,   80,  250, 2406,  203,  326,  655, 1389,  925,  717,  339,    2,  343,  639, 2091,   73,  309,  493,  489,  196,  220,  829, 1299, 3048,  569,  874,  459,  188, 2055,  784,  298,  688, 3207,  338,  792,  367, 1712,  460, 3859, 2385,  184,  138,  465,  122,  361,  294, 3011,  554,  477,  948,  207,  244,  233,  440,  365,  543, 1046,  345, 1251,   57,  139, 1057,  249, 8948,  108, 3022,  561,  867,  506,  333,  476,  561,   55, 1968, 2023,  632,  332,  318,  376,  695, 3084,  592,  269,  163, 1613, 2070,   71,  270, 1947,  492,  271, 1338,  101,  521, 1100,  228, 1372,  169,  442,  305,  377,14006, 5975, 1345
