"sampleID","700023701","700106065","700109107","700038956","700037814","700097631","700014832","700023872","700098932","700023551","700038702","700106229","700095353","700014555","700105468","700037700","700111811","700024732","700015390","700110812","700099059","700014386","700014718","700016608","700106437","700098359","700037008","700038493","700105685","700101638","700033130","700103672","700113013","700023967","700024846","700114855","700038354","700105153","700109230","700108954","700114387","700037357","700105834","700015245","700105739","700016136","700033436","700037198","700014954","700023066","700016008","700033726","700107816","700114489","700038021","700013549","700023290","700024449","700111574","700114750","700037967","700037405","700037303","700037090","700103621","700105580","700024966","700037123","700113066","700114717","700106876","700038231","700024908","700024689","700105355","700024296","700024349","700024646","700024234","700105274","700024593","700037453","700024545","700024201","700024141","700024408","700106018","700037539","700024086","700023634","700024024","700024492","700023509","700023919","700023447","700103446","700114105","700023237","700105210","700021902","700023815","700105421","700038445","700021677","700021295","700114000","700106132","700111026","700114218","700110353","700114911","700105312","700038741","700110701","700038594","700114798","700109383","700111505","700110587","700114162","700106333","700110221","700109750","700107993","700097570","700108473","700096047","700095956","700096267","700095774","700096590","700016902","700015979","700102585","700016542","700102242","700102905","700015386","700016004","700015702","700099746","700016000","700015394","700100227","700015113","700015179","700014828","700099590","700014488","700095410","700014497","700097234","700099002","700097291","700105613","700110287","700106754","700113542","700106663","700106809","700114442","700106615","700114615","700113503","700114267","700023188","700113599","700107189","700105882","700110419","700106504","700106291","700106412","700105991","700105787","700110644","700106979","700110155","700106551","700106701","700105049","700109807","700109317","700096568","700108284","700106946","700103479"
"sexMale","female","female","female","male","female","male","male","female","female","male","female","female","male","female","female","female","female","female","male","female","female","male","male","male","female","female","female","male","female","male","female","female","male","female","female","male","male","female","female","female","male","male","male","male","male","male","female","female","male","female","female","female","male","female","male","female","male","male","female","male","female","male","female","male","male","male","male","female","male","male","female","male","male","male","male","male","female","male","female","male","male","male","male","male","female","male","female","male","male","female","female","male","male","male","female","male","female","female","female","female","female","female","male","male","male","male","female","male","female","female","female","male","female","male","male","female","female","male","male","male","male","female","male","male","male","male","male","male","male","male","female","male","female","female","female","male","male","female","female","female","male","male","female","female","female","female","male","male","male","male","male","male","female","female","female","female","female","female","male","female","female","male","female","female","female","female","male","male","male","male","female","female","male","female","female","male","male","female","female","male","female","male","female","female","male","male","female"
"OTU_97.38931",22,0,3,27,578,43,44,89,364,0,1199,388,34,447,162,457,5,70,122,8,0,653,276,23,0,227,0,0,0,471,523,810,126,39,61,1267,49,657,2,0,52,14,0,44,0,0,430,1,113,2521,81,0,13,652,38,4,5,11,0,501,40,83,115,155,0,347,13,0,0,100,5,0,0,284,282,87,30,0,10,143,73,0,0,1084,699,208,62,250,370,11,472,9,3,50,438,17,0,0,2327,675,994,752,842,76,0,807,327,22,450,27,21,1486,272,0,0,137,4,20,0,661,1183,12,105,62,17,19,143,14,0,21,41,428,383,357,89,2,0,508,692,23,796,160,28,12,128,784,0,0,1813,46,253,464,180,22,38,21,55,0,28,69,66,13,6,348,15,19,4,7,32,13,0,0,2,25,14,1,413,0,4,37,8,28,0,0,60,163,90
"OTU_97.38958",17,0,0,0,5,0,28,0,0,4,0,0,2,0,17,0,0,0,0,107,37,15,0,44,4524,0,557,34,18,0,0,0,0,140,0,12,0,0,43,0,24,0,505,0,9,4681,0,0,174,0,0,0,0,0,2,7,63,22,4,0,0,10,0,0,1547,1,0,0,60,15,0,0,0,0,0,0,0,256,216,178,58,986,1493,0,0,0,117,0,0,0,0,0,0,146,0,7,27,76,0,0,0,0,36,0,282,0,0,0,0,0,17,38,0,0,431,0,0,0,0,0,0,0,0,0,0,14,0,0,68,0,0,0,0,0,0,10,847,0,95,780,0,0,0,0,0,0,79,0,0,0,0,0,0,33,11,0,0,7,0,0,0,48,0,0,0,0,0,0,0,0,0,1,2,0,0,258,0,53,2,22,5,0,0,0,0,0,0
"OTU_97.57",29,0,2,72,217,0,190,7,54,12,250,97,179,72,0,47,0,47,0,2,41,485,152,11,0,48,494,79,646,194,0,362,119,22,110,412,39,0,19,0,44,68,261,108,212,0,56,305,120,188,49,67,2,0,166,68,48,241,0,0,198,45,119,55,0,42,69,0,0,5,0,115,22,98,343,309,59,643,0,257,144,172,337,0,0,221,241,24,27,5,156,0,0,184,20,407,434,153,0,0,130,220,25,319,37,288,182,0,0,12,0,441,88,7,71,1,0,0,0,0,0,9,0,2,24,9,8,6,34,33,0,107,0,125,47,3,0,0,82,0,236,66,144,0,0,239,0,0,0,16,23,0,0,185,36,1,108,0,23,21,8,67,12,0,19,4,30,0,42,3,0,0,129,29,0,0,0,0,0,71,18,8,2,0,2,25,0
"OTU_97.34703",0,45,5,16,0,31,174,3,15,24,98,9,0,0,27,124,0,3,35,11,122,110,158,41,0,6,188,20,53,160,196,208,11,92,83,210,51,372,16,12,14,6,292,8,101,101,112,222,12,133,14,0,3,5,353,6,72,15,0,238,328,32,48,3,103,64,9,0,130,105,744,0,0,636,146,13,29,262,631,13,52,3,7,91,0,16,262,262,156,147,164,128,23,190,25,92,31,141,19,11,62,0,125,12,98,112,5,2,0,38,21,280,198,9,12,24,34,0,3,0,0,21,1,0,0,2,8,8,0,1,0,106,96,87,6,6,371,0,46,1046,155,1163,52,0,0,387,169,0,0,22,489,1,102,6,0,18,6,5,1,1,48,17,0,0,0,0,0,2,3,3,0,4,0,3,3,0,0,0,36,10,1,5,23,0,21,0,3
"OTU_97.14",20,0,0,16,4,46,3,19,20,0,11,312,0,120,66,6,0,27,104,0,0,5,155,156,2,41,0,0,0,96,467,7,287,2,3,2,158,2182,0,155,6,1,0,1,0,3,1,0,14,58,20,0,0,1,91,3,8,0,0,1,3,31,123,14,0,30,3,0,0,2,144,0,0,3316,15,9,1,0,0,148,56,0,0,392,7,0,0,458,794,5,66,3,0,745,1,1,0,0,6,2,6,314,2,0,0,103,5,0,169,100,0,6,0,18,0,20,2,2,67,165,248,16,63,8,13,40,1,0,0,37,76,142,126,4,1,8,0,651,7,16,8,7,4,1,1,7,0,0,197,1,2,209,79,12,1,1,13,0,0,14,15,79,4,7,1,3,0,0,5,0,0,0,1,1,3,0,0,0,2,1,1,0,0,1,22,2,25
"OTU_97.3031",0,0,0,0,0,0,163,0,0,0,0,101,0,0,313,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,1,51,0,0,269,0,0,44,0,0,0,0,0,0,125,0,0,636,276,0,89,0,153,0,0,0,293,0,0,48,6,0,0,41,0,0,0,3241,14,0,0,0,163,0,0,0,0,0,411,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,365,45,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,653,0,0,0,0,10,0,0,0,0,0,0,2562,1890,199,0,0,0,0,0,0,2,3,97,147,0,0,3,0,10,0,6,55,0,0,0,0,0,0,63,92,15,0,0,12,2,0,0,0,0,0,0,19,0,0,0,0,190,0
"OTU_97.34",166,0,0,0,5,0,29,0,0,48,0,0,49,0,505,1,0,0,0,46,389,606,5,8,564,0,98,293,1236,0,0,0,2,18,1,167,3,4,125,0,2,0,31,3,580,418,0,0,175,0,2,0,0,0,7,87,369,172,0,0,3,0,0,0,148,1,1,0,1071,270,0,0,0,0,0,0,1,648,33,61,21,123,151,0,0,3,26,1,0,0,1,0,1,52,0,457,934,952,1,1,0,0,13,3,19,0,2,0,0,0,183,15,0,1,219,0,0,0,0,1,3,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0,144,1,400,52,0,0,1,1,11,0,360,0,0,0,0,15,0,634,5,0,0,17,0,0,0,7,56,0,0,0,0,0,1,0,0,52,0,0,0,40,0,6,2,6,50,0,0,0,0,0,0
"OTU_97.29803",2,0,0,2,218,32,65,27,211,0,632,111,17,218,12,92,23,50,36,35,0,633,60,3,0,11,0,0,0,23,49,14,15,11,17,904,7,57,0,0,4,3,0,6,0,0,76,0,30,1358,26,0,13,345,15,8,0,4,0,304,21,22,28,30,0,26,1,0,0,10,0,0,0,49,24,15,2,0,0,32,17,0,0,276,591,49,20,90,79,2,57,2,0,12,109,0,0,0,108,138,76,20,460,4,0,44,77,32,19,56,7,86,11,0,0,14,0,155,0,80,131,43,111,28,71,10,129,47,0,44,103,212,85,555,91,1,0,317,60,1,525,25,12,0,25,850,0,0,664,9,83,68,111,8,1,11,1,0,0,1,4,2,1,32,2,3,0,2,0,4,0,0,0,0,1,0,13,0,0,0,0,16,0,0,21,8,3
