"IDs","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Dialister","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified","Bacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|unclassified","Bacteria|Bacteroidetes|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Phascolarctobacterium","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Butyricimonas","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Sutterella","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|unclassified","Bacteria|Firmicutes|unclassified","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Subdoligranulum","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Parasutterella","Bacteria|Firmicutes|Clostridia|Clostridiales|Incertae_Sedis_XIV|Blautia","Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae|Victivallis","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|unclassified","Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales|Anaeroplasmataceae|Asteroleplasma","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea","Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium","Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Catenibacterium","Bacteria|Firmicutes|Clostridia|unclassified","Bacteria|Proteobacteria|unclassified","Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Collinsella","Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Coprobacillus","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus","Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae|Akkermansia","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acetanaerobacterium","Bacteria|Proteobacteria|Betaproteobacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus","Bacteria|Proteobacteria|Alphaproteobacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter","Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|unclassified","Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus"
"700034100",386,600,12,9,14,38,14,33,0,14,10,10,1,25,0,0,5,0,3,0,1,1,1,173,6,0,0,2,0,11,0,4,0,3,3,7,0,0,0,1,2,0,1,1,0,0,0,0,0,0
"700109468",527,582,63,157,60,325,17,4,1,30,24,19,44,10,10,0,1,271,9,149,76,7,10,0,0,31,0,15,2,4,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,5,3,0,0
"700099822",1146,659,106,188,53,184,26,147,0,134,0,7,31,119,1,1,418,2,39,0,28,41,46,0,5,16,4,7,97,63,0,11,0,13,0,0,1,0,1,18,1,0,0,0,0,0,4,2,0,8
"700015250",18226,4718,1938,926,726,1718,443,2308,0,1867,2,494,850,1498,10,98,632,90,792,0,251,422,266,0,62,202,32,94,776,396,496,26,0,188,6,0,122,122,16,60,26,2,4,2,144,14,74,4,0,18
"700106723",1327,3447,798,189,59,172,104,193,0,74,15,172,18,15,32,12,291,20,28,1,8,47,5,0,0,1,1,22,45,14,0,27,0,6,1,0,0,0,0,2,1,22,0,0,3,3,0,1,26,0
"700102261",2535,1427,16,195,100,54,109,253,488,36,14,102,11,33,298,3,0,156,71,137,1,5,26,33,60,11,0,3,0,58,0,1,0,10,5,2,0,1,1,2,2,0,0,3,20,7,0,0,0,2
"700016765",880,530,0,140,95,222,101,104,97,147,5,44,45,7,192,1,0,98,47,130,63,0,0,0,0,14,0,5,0,13,0,0,133,3,2,0,2,0,9,10,1,6,1,0,0,5,0,4,0,1
"700016564",3002,3814,236,495,97,80,186,62,11,70,343,215,124,18,12,10,0,57,20,254,0,30,4,0,1371,4,7,1,2,5,0,0,0,0,0,0,7,4,1,3,0,0,2,50,0,1,0,0,0,1
"700106259",4864,6039,1047,1485,270,596,750,1184,0,962,394,434,112,258,76,15,104,18,64,0,5,185,842,0,73,11,124,75,566,45,49,795,0,20,6,0,11,0,16,8,12,0,0,3,1,16,0,11,0,3
"700103328",994,1125,396,126,666,313,192,164,0,356,252,98,55,84,5,10,0,19,53,33,4,34,1,8,0,15,35,296,0,26,0,33,0,7,5,0,14,0,14,2,3,0,0,0,0,4,0,8,0,1
"700016609",9006,4310,106,638,494,467,214,461,701,135,60,350,217,247,577,11,2,477,241,376,267,27,124,16,36,124,9,30,0,46,7,7,0,52,19,19,6,0,0,2,34,0,8,11,16,2,0,12,0,8
"700015249",6559,1553,537,305,162,594,105,613,0,457,0,66,206,516,1,11,173,23,282,0,99,123,88,0,6,86,7,32,165,115,78,9,0,47,0,0,18,18,2,21,13,0,0,3,44,4,29,2,0,8
"700024470",3128,10148,2479,503,413,360,1986,379,7975,222,5701,828,112,74,79,13,0,38,10,0,19,0,0,0,0,13,125,331,672,68,0,26,0,8,9,0,9,3,83,15,1,0,0,1,1,7,0,1,125,3
"700097773",576,845,152,107,224,473,11,159,73,211,33,25,15,233,99,1,0,453,26,24,59,32,22,0,0,10,3,144,15,57,0,0,0,25,0,0,16,0,1,61,11,0,1,0,22,0,0,2,1,13
"700106930",1594,1773,1011,263,341,126,189,153,9,284,237,99,34,113,5,4,0,21,55,25,6,102,0,85,10,2,2,55,0,38,0,1,0,14,4,10,3,0,2,2,3,0,0,1,0,0,0,1,0,3
"700102678",2921,1302,1,67,3,13,1,72,209,26,10,31,3,44,424,0,0,10,5,0,0,0,0,401,15,0,0,14,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"700015703",2987,4920,2808,1753,648,482,1546,396,657,210,10,180,738,85,79,97,549,7,110,0,6,119,422,75,6,350,996,56,4,44,0,20,0,32,135,34,34,4,3,3,8,111,0,3,0,26,0,10,1,16
"700015704",6411,10232,6169,3464,1096,1006,3783,844,2058,517,65,173,1165,147,125,122,1457,13,348,0,12,411,1083,153,6,727,1362,153,27,113,0,24,0,37,299,87,98,15,17,7,29,164,0,1,0,48,3,14,0,57
"700101309",214,1659,140,357,139,347,53,93,26,78,64,51,32,92,536,0,64,6,10,330,233,37,0,0,0,10,0,12,65,19,0,22,0,7,0,0,0,1,0,9,1,0,0,0,0,1,0,0,0,0
