"IDs","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|unclassified","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillibacter","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia","Bacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Subdoligranulum","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Dialister","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Barnesiella","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus","Bacteria|Firmicutes|unclassified","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Parasutterella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Incertae_Sedis_XIV|Blautia","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Sutterella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Phascolarctobacterium","Bacteria|Bacteroidetes|unclassified","Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Verrucomicrobiaceae|Akkermansia","Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae|Propionibacterium","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Odoribacter","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|unclassified","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Butyricimonas","Bacteria|Firmicutes|Clostridia|unclassified","Bacteria|Proteobacteria|Alphaproteobacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea","Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Coprobacillus","Bacteria|Proteobacteria|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Succiniclasticum","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium","Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Catenibacterium","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter","Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales|Coriobacteriaceae|Collinsella","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus","Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Butyricicoccus","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Acidaminococcus","Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus","Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Acetivibrio","Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|unclassified","Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Megasphaera"
"700015181",12442,961,800,2071,755,2332,415,2513,216,2204,269,107,47,0,169,1325,179,1,117,0,0,26,364,14,164,0,248,0,0,181,274,0,30,25,0,0,8,1,0,12,0,39,28,4,12,80,0,31,0,0
"700105087",2844,268,960,413,414,385,243,304,42,252,371,186,4,106,21,15,0,4,44,26,26,22,161,5,153,0,55,73,0,59,15,20,40,7,29,0,39,2,0,6,6,46,6,0,0,0,0,0,10,0
"700024254",6938,1502,885,614,1000,623,1124,767,1114,94,226,311,1,0,241,34,640,1,157,1,0,3,48,80,197,0,69,0,0,0,84,0,33,47,0,0,1,0,0,14,39,3,9,17,37,0,0,22,0,0
"700023477",3608,3187,1196,1309,827,105,206,187,313,61,157,223,0,37,502,30,0,3,21,3,0,23,126,0,0,0,13,0,1,0,15,0,16,23,0,0,3,3,0,6,0,5,0,2,2,4,0,10,0,0
"700023267",2064,438,212,114,402,291,137,140,264,9,20,20,40,36,26,5,99,2,46,0,0,3,0,0,4,0,0,0,0,102,6,0,8,7,0,0,0,0,0,4,1,1,2,0,5,0,0,2,0,0
"700095486",1451,265,451,645,236,657,260,194,82,95,128,236,0,311,167,30,2,198,133,0,9,155,18,66,0,0,12,0,0,51,14,3,9,69,2,0,49,2,0,11,22,4,49,17,33,0,0,1,0,0
"700023633",241,2096,2379,1952,1704,27,2820,29,2097,3,104,1037,0,1,227,68,0,0,13,816,1,0,336,0,0,0,4,10,0,1,27,2,9,1,0,0,27,8,0,113,12,0,0,4,3,0,0,5,0,1
"700016470",1076,273,375,690,605,230,141,125,34,80,166,119,36,76,105,13,24,44,39,0,0,44,23,0,0,0,146,0,0,0,27,3,2,19,0,0,12,0,0,27,2,3,8,3,5,0,0,14,0,0
"700023902",1439,392,908,1061,1924,287,200,231,785,37,334,1283,1,0,428,126,28,0,591,9,0,5,72,2,2634,0,4,0,0,0,13,0,260,25,0,0,1,36,0,12,21,35,1,3,12,186,0,25,0,0
"700105822",879,699,761,227,153,655,100,22,115,97,2,302,542,0,10,15,0,1,67,267,1,65,10,15,0,0,64,3,0,0,7,0,64,13,0,0,9,2,0,1,83,39,221,1,26,49,0,1,0,20
"700024752",1956,139,242,496,537,229,230,679,93,735,54,5,0,1044,87,6,13,208,23,1,527,208,138,63,9,0,70,4,183,0,19,1383,55,103,851,0,3,0,0,1,1,9,21,0,3,0,0,1,19,0
"700038005",1635,582,283,242,275,747,238,58,54,133,1,18,0,0,14,104,2,0,17,0,0,2,0,6,0,0,0,1,0,0,57,0,2,0,0,0,12,8,0,0,3,1,0,0,0,0,0,0,0,0
"700105459",6065,594,999,1014,1578,1903,442,0,781,211,226,113,186,465,140,14,557,55,171,1,0,108,0,7,27,2,141,0,0,92,92,15,58,18,28,0,1,0,0,14,12,7,8,12,24,0,1,12,0,0
"700114749",4898,350,226,387,233,966,271,413,54,101,148,38,0,817,111,8,1,1233,52,276,204,335,0,10,0,0,498,88,1379,156,109,0,14,5,1,0,17,16,0,13,10,2,30,1,16,0,0,2,10,0
"700100041",784,40,229,148,108,131,30,251,273,4,5,52,9,0,23,2,28,0,104,9,0,3,0,0,8,0,16,0,4,0,5,0,8,3,0,0,1,2,0,4,0,1,21,7,4,154,0,0,0,0
"700024866",4014,1325,491,377,833,801,265,211,395,374,148,60,63,0,107,37,170,198,112,108,0,66,0,4,12,0,0,12,0,0,147,0,16,13,0,0,2,0,0,6,8,17,10,1,24,0,0,1,1,0
"700107778",1120,166,152,717,102,903,88,249,21,464,124,82,0,712,47,160,3,127,18,2,2,144,5,17,0,0,46,0,0,271,2,6,8,4,1,0,19,0,0,5,0,0,27,0,1,0,0,3,0,0
"700114872",4782,1123,553,848,939,653,343,290,115,1180,118,83,0,56,23,596,2,35,140,521,1,209,262,34,3,8239,8,120,0,32,132,6,36,66,67,0,0,0,0,1,8,5,3,1,6,0,185,1,94,0
"700038520",4234,820,524,482,484,667,236,170,173,157,87,39,6,0,162,31,332,2,93,5,0,20,0,2,19,0,96,1,0,0,10,0,24,61,0,0,1,0,0,48,0,5,52,2,12,0,0,0,0,0
